passengerId,firstName,lastName,age,telephone
21012219550418492X,Zhuang,Rongfan,62,13104367774
210122196110070924,Yu,Feixin,56,13104362222
511502199103223189,He,Qiongyan,26,13104368848
431202198811101720,Fang,Hua,29,13177777777
130821199103278829,Chang,Shanqin,26,15134235235
520323197806058856,Qi,Lunbo,39,15134235235
350105199506138487,Fu,Jia,22,15892039444
610729197408202551,Di,Biaoshu,43,15892039444
820000195008115837,Ping,Mingqi,67,15892039444
450101197405207446,Ping,Lu,43,13980188599
654022197901228286,Shu,Hong,38,15880234599
152224198908049211,Tang,Qi,28,15980234395
230822197201256034,Di,Lizhen,45,18309038855
