reservationId,passenger,flight,seatLevel,mealsAvailable,handBaggageNum,checkedBaggageNum,checked
1513362048673779712,21012219550418492X,MU1234,BUSINESS_CLASS,true,1,2,false
1520713909076627456,210122196110070924,MU1234,ECONOMY_CLASS,true,1,0,false
1522206820880486400,511502199103223189,MH5163,BUSINESS_CLASS,false,1,1,false
1522507765845725184,511502199103223189,MH8633,BUSINESS_CLASS,false,1,0,false
1522510245593747456,431202198811101720,MU4233,BUSINESS_CLASS,true,1,0,false
1522510488322314240,431202198811101720,MH8633,BUSINESS_CLASS,true,1,0,false
1522510628076523520,431202198811101720,MU8653,BUSINESS_CLASS,true,1,0,false
1522511581748006912,431202198811101720,NH1266,FIRST_CLASS,true,1,0,false
1522516118936358912,130821199103278829,CH4993,FIRST_CLASS,true,1,2,false
1522516664904716288,130821199103278829,MH8633,BUSINESS_CLASS,true,1,2,false
1522516847050756096,520323197806058856,MH8633,BUSINESS_CLASS,true,1,0,false
1522517509679484928,520323197806058856,GH4572,BUSINESS_CLASS,false,1,0,false
1522517796636987392,350105199506138487,MH8633,BUSINESS_CLASS,false,1,1,false
1522518898929438720,610729197408202551,NH9874,BUSINESS_CLASS,false,1,1,false
1522521423007059968,820000195008115837,MH8633,ECONOMY_CLASS,true,1,1,false
1522521654113210368,450101197405207446,HH6324,ECONOMY_CLASS,true,1,0,false
1522522483536826368,654022197901228286,GH0001,FIRST_CLASS,true,0,1,false
1522522709437845504,152224198908049211,CH2341,FIRST_CLASS,true,1,1,false
1517540042405449728,123456,MH1234,ECONOMY_CLASS,true,1,0,true
1517540128904248799,123456,MH8633,BUSINESS_CLASS,true,0,1,true
