A,B,C,D,E,F
true,false,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,false,true,true,true,true
true,true,true,true,true,true
true,true,true,false,true,true
false,true,true,true,true,false
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,false,true,true
