A,B,C,D,E,F
true,false,false,false,false,false
true,false,false,false,false,false
true,true,false,false,false,false
true,true,true,true,false,true
true,true,true,true,true,true
true,true,true,true,true,false
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
